Episode,Reward,Steps,Reason
0,-15.00,0,FALL
1,-15.00,0,FALL
2,-15.00,0,FALL
3,-15.00,0,FALL
4,-15.00,0,FALL
5,-15.00,0,FALL
6,-15.00,0,FALL
7,-15.00,0,FALL
8,-15.00,0,FALL
9,-15.00,0,FALL
10,-15.00,0,FALL
11,-15.00,0,FALL
12,-15.00,0,FALL
13,-15.00,0,FALL
14,-15.00,0,FALL
15,-15.00,0,FALL
16,-15.00,0,FALL
17,-15.00,0,FALL
18,-15.00,0,FALL
19,-15.00,0,FALL
20,-15.00,0,FALL
21,-15.00,0,FALL
22,-15.00,0,FALL
23,-15.00,0,FALL
24,-15.00,0,FALL
25,-15.00,0,FALL
26,-15.00,0,FALL
27,-15.00,0,FALL
28,-15.00,0,FALL
29,-15.00,0,FALL
30,-15.00,0,FALL
31,-15.00,0,FALL
32,-15.00,0,FALL
33,-15.00,0,FALL
34,-15.00,0,FALL
35,-15.00,0,FALL
36,-15.00,0,FALL
37,-15.00,0,FALL
38,-15.00,0,FALL
39,-15.00,0,FALL
40,-15.00,0,FALL
41,-15.00,0,FALL
42,-15.00,0,FALL
43,-15.00,0,FALL
44,-15.00,0,FALL
45,-15.00,0,FALL
46,-15.00,0,FALL
47,-15.00,0,FALL
48,-15.00,0,FALL
49,-15.00,0,FALL
50,-15.00,0,FALL
51,-15.00,0,FALL
52,-15.00,0,FALL
53,-15.00,0,FALL
54,-15.00,0,FALL
55,-15.00,0,FALL
56,-15.00,0,FALL
57,-15.00,0,FALL
58,-15.00,0,FALL
59,-15.00,0,FALL
60,-15.00,0,FALL
61,-15.00,0,FALL
62,-15.00,0,FALL
63,-15.00,0,FALL
64,-15.00,0,FALL
65,-15.00,0,FALL
66,-15.00,0,FALL
67,-15.00,0,FALL
68,-15.00,0,FALL
69,-15.00,0,FALL
70,-15.00,0,FALL
71,-15.00,0,FALL
72,-15.00,0,FALL
73,-15.00,0,FALL
74,-15.00,0,FALL
75,-15.00,0,FALL
76,-15.00,0,FALL
77,-15.00,0,FALL
78,-15.00,0,FALL
79,-15.00,0,FALL
80,-15.00,0,FALL
81,-15.00,0,FALL
82,-15.00,0,FALL
83,-15.00,0,FALL
84,-15.00,0,FALL
85,-15.00,0,FALL
86,-15.00,0,FALL
87,-15.00,0,FALL
88,-15.00,0,FALL
89,-15.00,0,FALL
90,-15.00,0,FALL
91,-15.00,0,FALL
92,-15.00,0,FALL
93,-15.00,0,FALL
94,-15.00,0,FALL
95,-15.00,0,FALL
96,-15.00,0,FALL
97,-15.00,0,FALL
98,-15.00,0,FALL
99,-15.00,0,FALL
100,-15.00,0,FALL
0,10.82,10,FALL
1,-2.74,4,FALL
2,91.75,37,FALL
3,-4.56,3,FALL
4,-1.98,4,FALL
5,25.77,15,FALL
6,-0.15,5,FALL
7,3.46,6,FALL
8,19.25,11,FALL
9,5.78,7,FALL
10,2.52,6,FALL
0,11.39,9,FALL
1,5.18,8,FALL
2,7.04,8,FALL
3,28.41,15,FALL
4,8.93,8,FALL
5,69.73,30,FALL
6,9.82,9,FALL
7,-3.18,4,FALL
8,45.28,20,FALL
9,2.81,6,FALL
10,14.11,11,FALL
11,5.73,7,FALL
12,7.50,8,FALL
13,4.37,7,FALL
14,9.25,9,FALL
15,-3.45,4,FALL
16,20.54,13,FALL
17,1.13,5,FALL
18,2.19,6,FALL
19,26.15,16,FALL
20,26.09,14,FALL
21,1.61,6,FALL
22,23.99,14,FALL
23,-0.49,5,FALL
24,-2.62,4,FALL
25,15.54,11,FALL
26,-3.22,4,FALL
27,75.03,31,FALL
28,4.42,7,FALL
29,59.15,27,FALL
30,0.81,5,FALL
31,-2.30,4,FALL
32,7.83,8,FALL
33,15.75,12,FALL
34,5.62,7,FALL
35,22.17,13,FALL
36,13.95,10,FALL
37,5.02,7,FALL
38,2.30,6,FALL
39,-1.01,5,FALL
40,9.08,8,FALL
41,2.72,6,FALL
42,3.49,6,FALL
43,7.98,8,FALL
44,-0.97,5,FALL
45,9.58,10,FALL
46,20.63,14,FALL
47,25.54,14,FALL
48,6.57,8,FALL
49,23.99,14,FALL
50,2.15,6,FALL
51,3.48,6,FALL
52,19.77,14,FALL
53,0.55,5,FALL
54,1.60,5,FALL
55,2.17,6,FALL
56,24.84,14,FALL
57,16.88,12,FALL
58,28.88,16,FALL
59,6.09,7,FALL
60,1.86,6,FALL
61,11.33,8,FALL
62,-0.15,5,FALL
63,-1.60,5,FALL
64,1.20,6,FALL
65,7.41,8,FALL
66,19.46,12,FALL
67,6.06,7,FALL
68,9.54,8,FALL
69,0.20,5,FALL
70,39.63,19,FALL
71,32.00,16,FALL
72,4.38,7,FALL
73,1.26,5,FALL
74,-2.57,4,FALL
75,10.99,10,FALL
76,0.42,5,FALL
77,1.00,5,FALL
78,0.38,5,FALL
79,3.28,6,FALL
80,6.77,7,FALL
81,11.21,9,FALL
82,6.16,7,FALL
83,7.85,8,FALL
84,10.33,9,FALL
85,6.69,8,FALL
86,11.72,10,FALL
87,4.00,6,FALL
88,8.51,7,FALL
89,30.61,16,FALL
90,12.90,11,FALL
91,6.69,8,FALL
92,30.86,16,FALL
93,7.20,8,FALL
94,6.62,7,FALL
95,2.96,6,FALL
96,9.61,9,FALL
97,39.16,18,FALL
98,25.71,15,FALL
99,83.56,32,FALL
100,11.44,9,FALL
101,8.96,8,FALL
102,25.72,16,FALL
103,2.01,6,FALL
104,1.15,6,FALL
105,6.63,7,FALL
106,2.14,6,FALL
107,3.04,7,FALL
108,6.78,8,FALL
109,10.99,11,FALL
110,19.96,11,FALL
111,77.04,33,FALL
112,4.58,6,FALL
113,12.28,9,FALL
114,3.02,5,FALL
115,10.09,9,FALL
116,1.37,6,FALL
117,-1.16,5,FALL
118,20.13,13,FALL
119,-0.27,5,FALL
120,44.64,20,FALL
121,3.11,6,FALL
122,32.25,15,FALL
123,18.92,11,FALL
124,6.36,7,FALL
125,21.41,12,FALL
126,6.52,8,FALL
127,1.95,6,FALL
128,2.45,6,FALL
129,0.58,5,FALL
130,-0.04,5,FALL
131,7.24,9,FALL
132,26.68,14,FALL
133,15.95,11,FALL
134,8.92,8,FALL
135,6.65,7,FALL
136,0.36,5,FALL
137,15.72,11,FALL
138,15.25,11,FALL
139,29.03,16,FALL
140,10.88,9,FALL
141,0.55,6,FALL
142,9.63,9,FALL
143,4.38,7,FALL
144,13.47,10,FALL
145,9.62,8,FALL
146,11.17,10,FALL
147,31.86,16,FALL
148,1.15,5,FALL
149,5.90,7,FALL
150,6.68,8,FALL
151,2.87,6,FALL
152,10.23,9,FALL
153,5.98,8,FALL
154,12.70,10,FALL
155,9.50,9,FALL
156,12.33,10,FALL
157,-3.85,4,FALL
158,6.32,7,FALL
159,7.26,7,FALL
160,2.77,6,FALL
161,44.21,20,FALL
162,47.36,22,FALL
163,20.52,13,FALL
164,40.01,18,FALL
165,9.61,10,FALL
166,65.86,28,FALL
167,9.64,9,FALL
168,50.36,21,FALL
169,13.03,10,FALL
170,12.13,9,FALL
171,10.20,9,FALL
172,32.24,17,FALL
