Episode,Reward,Steps,Reason,Time
430,259.17,138,FALL,21:59:01
431,27.79,48,FALL,21:59:08
432,-61.38,16,FALL,21:59:12
433,-36.50,25,FALL,21:59:17
434,30.01,49,FALL,21:59:24
435,14.45,47,FALL,21:59:29
436,-47.27,22,FALL,21:59:34
437,57.21,62,FALL,21:59:41
438,11.70,45,FALL,21:59:47
439,27.81,50,FALL,21:59:53
440,-30.86,27,FALL,21:59:59
441,-40.48,23,FALL,22:00:04
442,-3.41,37,FALL,22:00:10
443,-67.85,13,FALL,22:00:15
444,203.89,117,FALL,22:00:23
445,-9.66,36,FALL,22:00:28
446,251.10,129,FALL,22:00:36
447,-44.24,22,FALL,22:00:42
448,-20.36,30,FALL,22:00:47
449,-16.72,33,FALL,22:00:52
450,-53.60,18,FALL,22:00:57
451,-63.50,16,FALL,22:01:02
452,-72.63,13,FALL,22:01:06
453,-56.54,19,FALL,22:01:11
454,79.08,67,FALL,22:01:17
455,-31.80,26,FALL,22:01:22
456,-41.33,23,FALL,22:01:26
457,-14.88,32,FALL,22:01:31
458,57.36,62,FALL,22:01:38
459,-43.30,22,FALL,22:01:43
460,-62.02,15,FALL,22:01:48
461,-28.55,29,FALL,22:01:53
462,-62.10,16,FALL,22:01:58
463,38.58,54,FALL,22:02:04
464,93.50,76,FALL,22:02:11
465,-59.81,15,FALL,22:02:15
466,-28.89,31,FALL,22:02:21
467,8.84,43,FALL,22:02:27
468,106.47,79,FALL,22:02:35
469,10.47,42,FALL,22:02:41
470,36.27,53,FALL,22:02:47
471,-45.05,25,FALL,22:02:52
472,-29.88,29,FALL,22:02:57
473,-69.62,12,FALL,22:03:01
474,128.09,86,FALL,22:03:08
475,-47.18,21,FALL,22:03:13
476,-39.85,25,FALL,22:03:17
477,-43.85,22,FALL,22:03:22
478,-30.91,28,FALL,22:03:28
479,-11.80,37,FALL,22:03:33
480,31.24,51,FALL,22:03:39
481,12.90,43,FALL,22:03:44
482,59.67,59,FALL,22:03:51
483,-62.51,17,FALL,22:03:55
484,-14.46,34,FALL,22:04:01
485,-55.93,17,FALL,22:04:05
486,115.70,82,FALL,22:04:12
487,181.36,109,FALL,22:04:20
488,128.83,89,FALL,22:04:28
489,-30.82,28,FALL,22:04:33
490,-21.17,31,FALL,22:04:38
491,-66.95,14,FALL,22:04:42
492,103.84,76,FALL,22:04:49
493,-69.53,14,FALL,22:04:54
494,-32.88,27,FALL,22:04:59
495,-3.18,39,FALL,22:05:04
496,-65.13,14,FALL,22:05:09
497,-68.52,13,FALL,22:05:13
498,87.91,75,FALL,22:05:20
499,26.51,47,FALL,22:05:26
500,84.14,73,FALL,22:05:33
501,16.89,46,FALL,22:05:39
502,27.98,50,FALL,22:05:45
503,160.58,102,FALL,22:05:53
504,49.87,56,FALL,22:06:00
505,223.19,120,FALL,22:06:09
506,52.38,59,FALL,22:06:15
507,4.08,43,FALL,22:06:21
508,-61.89,18,FALL,22:06:26
509,160.67,101,FALL,22:06:35
510,-45.80,22,FALL,22:06:40
511,154.59,104,FALL,22:06:49
512,102.89,75,FALL,22:06:55
513,-17.70,32,FALL,22:07:01
514,80.21,68,FALL,22:07:08
515,-64.38,16,FALL,22:07:13
516,129.93,88,FALL,22:07:21
517,-11.96,34,FALL,22:07:26
518,18.57,45,FALL,22:07:31
519,224.12,122,FALL,22:07:40
520,-51.19,23,FALL,22:07:46
521,-56.19,18,FALL,22:07:51
522,-23.52,33,FALL,22:07:56
523,-73.93,12,FALL,22:08:00
524,-49.83,24,FALL,22:08:05
525,96.15,74,FALL,22:08:11
526,-64.60,15,FALL,22:08:16
527,-12.44,38,FALL,22:08:21
528,166.90,101,FALL,22:08:29
529,-8.84,38,FALL,22:08:35
530,2.39,41,FALL,22:08:41
531,13.09,45,FALL,22:08:47
532,11.60,44,FALL,22:08:52
533,9.70,41,FALL,22:08:57
534,-44.62,22,FALL,22:09:02
535,-56.07,20,FALL,22:09:08
536,17.12,44,FALL,22:09:13
537,87.09,74,FALL,22:09:21
538,-23.04,31,FALL,22:09:26
539,-19.31,30,FALL,22:09:31
540,-69.38,14,FALL,22:09:36
541,-55.65,18,FALL,22:09:40
542,-6.71,37,FALL,22:09:46
543,-16.70,33,FALL,22:09:51
544,43.66,55,FALL,22:09:57
545,-15.30,34,FALL,22:10:02
