Episode,Reward,Steps,Reason,Timestamp
0,85.42,27,IK_FAIL,12:11:40
1,50.90,25,"FALL (Pitch:-41.5°, Roll:0.7°)",12:11:45
2,72.53,30,"FALL (Pitch:-41.7°, Roll:1.9°)",12:11:51
3,39.63,21,"FALL (Pitch:-39.5°, Roll:1.7°)",12:11:56
4,51.72,25,"FALL (Pitch:-34.8°, Roll:2.3°)",12:12:01
5,58.33,26,"FALL (Pitch:-37.4°, Roll:1.3°)",12:12:07
6,44.44,23,"FALL (Pitch:-38.1°, Roll:1.5°)",12:12:12
7,25.24,9,IK_FAIL,12:12:17
8,40.78,23,"FALL (Pitch:-40.9°, Roll:2.3°)",12:12:22
9,78.57,32,"FALL (Pitch:-41.7°, Roll:1.8°)",12:12:28
10,79.17,33,"FALL (Pitch:-40.2°, Roll:3.0°)",12:12:34
11,45.05,23,"FALL (Pitch:-37.4°, Roll:1.7°)",12:12:39
12,36.31,19,"FALL (Pitch:-34.7°, Roll:2.1°)",12:12:45
13,35.66,19,"FALL (Pitch:-35.1°, Roll:1.7°)",12:12:50
14,41.25,22,"FALL (Pitch:-36.1°, Roll:2.1°)",12:12:55
15,65.27,27,"FALL (Pitch:-39.4°, Roll:3.8°)",12:13:00
16,58.40,26,"FALL (Pitch:-40.3°, Roll:2.6°)",12:13:06
17,57.60,25,"FALL (Pitch:-39.5°, Roll:3.8°)",12:13:11
18,77.33,27,IK_FAIL,12:13:17
19,6.52,2,IK_FAIL,12:13:22
20,56.50,26,"FALL (Pitch:-36.3°, Roll:3.3°)",12:13:28
21,57.89,25,"FALL (Pitch:-35.8°, Roll:4.3°)",12:13:33
22,50.18,25,"FALL (Pitch:-40.0°, Roll:1.5°)",12:13:38
23,45.68,24,"FALL (Pitch:-35.1°, Roll:1.4°)",12:13:44
24,0.00,0,IK_FAIL,12:13:48
25,56.61,25,"FALL (Pitch:-35.4°, Roll:2.8°)",12:13:54
26,40.60,22,"FALL (Pitch:-37.8°, Roll:2.5°)",12:13:59
27,61.30,25,"FALL (Pitch:-34.6°, Roll:3.5°)",12:14:05
28,42.36,23,"FALL (Pitch:-40.3°, Roll:1.1°)",12:14:10
29,62.05,26,"FALL (Pitch:-34.9°, Roll:3.3°)",12:14:15
30,35.56,19,"FALL (Pitch:-39.5°, Roll:1.0°)",12:14:20
31,53.95,27,"FALL (Pitch:-38.9°, Roll:0.9°)",12:14:26
32,50.56,24,"FALL (Pitch:-36.4°, Roll:1.3°)",12:14:31
33,51.67,25,"FALL (Pitch:-36.6°, Roll:1.5°)",12:14:37
34,74.37,28,IK_FAIL,12:14:43
35,50.49,24,"FALL (Pitch:-37.9°, Roll:1.5°)",12:14:48
36,44.43,23,"FALL (Pitch:-39.9°, Roll:1.7°)",12:14:54
37,33.93,19,"FALL (Pitch:-35.5°, Roll:1.5°)",12:14:59
38,49.67,25,"FALL (Pitch:-41.1°, Roll:1.7°)",12:15:04
39,53.94,25,"FALL (Pitch:-42.3°, Roll:3.0°)",12:15:14
40,76.97,31,"FALL (Pitch:-41.7°, Roll:0.7°)",12:15:19
41,48.95,24,"FALL (Pitch:-36.7°, Roll:1.2°)",12:15:25
42,43.78,16,IK_FAIL,12:15:30
43,48.62,25,"FALL (Pitch:-37.4°, Roll:1.4°)",12:15:36
44,69.95,30,"FALL (Pitch:-38.5°, Roll:1.1°)",12:15:41
45,52.13,25,"FALL (Pitch:-36.2°, Roll:2.2°)",12:15:47
46,51.66,25,"FALL (Pitch:-34.7°, Roll:3.1°)",12:15:52
47,76.47,32,"FALL (Pitch:-40.0°, Roll:0.8°)",12:15:58
48,37.20,20,"FALL (Pitch:-38.8°, Roll:0.8°)",12:16:03
49,50.36,25,"FALL (Pitch:-40.9°, Roll:1.1°)",12:16:08
50,69.07,29,"FALL (Pitch:-37.3°, Roll:2.9°)",12:16:14
51,61.59,26,"FALL (Pitch:-39.7°, Roll:1.4°)",12:16:20
52,62.48,27,"FALL (Pitch:-40.2°, Roll:1.2°)",12:16:25
53,37.67,20,"FALL (Pitch:-35.9°, Roll:2.9°)",12:16:30
54,49.31,25,"FALL (Pitch:-38.8°, Roll:2.1°)",12:16:36
55,17.36,6,IK_FAIL,12:16:41
56,53.87,25,"FALL (Pitch:-38.2°, Roll:2.3°)",12:16:46
57,57.76,28,"FALL (Pitch:-39.3°, Roll:1.2°)",12:16:52
58,43.92,22,"FALL (Pitch:-35.4°, Roll:2.1°)",12:16:57
59,32.99,19,"FALL (Pitch:-35.6°, Roll:2.7°)",12:17:02
60,41.49,23,"FALL (Pitch:-39.7°, Roll:1.1°)",12:17:07
61,38.35,22,"FALL (Pitch:-37.0°, Roll:3.1°)",12:17:13
62,59.89,27,"FALL (Pitch:-39.2°, Roll:0.9°)",12:17:18
63,65.68,27,"FALL (Pitch:-37.6°, Roll:3.7°)",12:17:24
64,49.79,25,"FALL (Pitch:-41.6°, Roll:0.6°)",12:17:29
65,56.78,25,"FALL (Pitch:-36.6°, Roll:2.6°)",12:17:35
66,52.77,25,"FALL (Pitch:-38.9°, Roll:1.4°)",12:17:40
67,42.74,22,"FALL (Pitch:-37.6°, Roll:2.1°)",12:17:45
68,47.55,18,IK_FAIL,12:17:51
69,63.59,27,"FALL (Pitch:-35.9°, Roll:3.1°)",12:17:56
70,37.72,20,"FALL (Pitch:-37.2°, Roll:2.0°)",12:18:01
