Episode,Reward,Steps,Reason,Time
329,110.45,29,FALL,12:22:14
330,107.41,33,FALL,12:22:24
331,-54.96,6,FALL,12:22:28
332,64.44,25,FALL,12:22:35
333,197.91,44,FALL,12:22:41
334,-26.79,12,FALL,12:22:44
335,-27.42,10,FALL,12:22:47
336,42.48,21,FALL,12:22:58
337,139.58,35,FALL,12:23:02
338,115.76,32,FALL,12:23:07
339,-48.61,7,FALL,12:23:10
340,146.49,39,FALL,12:23:16
341,-47.11,7,FALL,12:23:19
342,-45.25,8,FALL,12:23:22
343,-50.36,7,FALL,12:23:32
344,52.12,23,FALL,12:23:36
345,-44.83,8,FALL,12:23:39
346,20.08,19,FALL,12:23:46
347,36.17,21,FALL,12:23:53
348,-38.10,9,FALL,12:23:57
349,54.40,22,FALL,12:24:04
350,-54.99,6,FALL,12:24:11
351,-46.25,9,FALL,12:24:14
352,-31.75,12,FALL,12:24:17
353,-49.29,7,FALL,12:24:21
354,-23.30,13,FALL,12:24:24
355,1.59,20,FALL,12:24:28
356,17.64,17,FALL,12:24:32
357,51.91,22,FALL,12:24:36
358,-42.08,9,FALL,12:24:39
359,-15.06,15,FALL,12:24:43
360,-52.03,7,FALL,12:24:47
361,-19.19,13,FALL,12:24:50
362,56.13,23,FALL,12:24:54
363,157.24,41,FALL,12:25:00
364,-26.02,12,FALL,12:25:03
365,123.07,33,FALL,12:25:08
366,102.81,26,FALL,12:25:12
367,-28.72,12,FALL,12:25:16
368,-57.03,7,FALL,12:25:22
369,-22.21,12,FALL,12:25:26
370,-14.67,14,FALL,12:25:30
371,38.04,19,FALL,12:25:37
372,46.56,21,FALL,12:25:41
373,-48.48,7,FALL,12:25:44
374,-39.49,9,FALL,12:25:48
375,-56.47,6,FALL,12:25:51
376,12.83,17,FALL,12:25:55
377,-51.13,6,FALL,12:25:58
378,-46.96,8,FALL,12:26:04
379,-15.99,13,FALL,12:26:08
380,94.36,29,FALL,12:26:13
381,102.54,28,FALL,12:26:20
382,159.01,43,FALL,12:26:26
383,44.17,21,FALL,12:26:30
384,114.77,30,FALL,12:26:41
385,-49.40,7,FALL,12:26:47
386,-51.41,7,FALL,12:26:50
387,83.56,31,FALL,12:26:58
388,-48.03,7,FALL,12:27:01
389,43.38,22,FALL,12:27:08
390,-40.88,10,FALL,12:27:18
391,-34.83,11,FALL,12:27:24
392,84.13,28,FALL,12:27:28
393,-35.43,10,FALL,12:27:32
394,68.13,28,FALL,12:27:45
395,-11.24,14,FALL,12:27:49
396,200.96,40,FALL,12:27:54
397,-44.71,8,FALL,12:27:57
398,99.53,39,FALL,12:28:05
399,57.33,27,FALL,12:28:10
400,42.14,24,FALL,12:28:14
401,76.16,27,FALL,12:28:18
402,-50.54,7,FALL,12:28:24
403,-66.87,5,FALL,12:28:31
404,-46.73,8,FALL,12:28:37
405,7.57,20,FALL,12:28:41
406,5.97,15,FALL,12:28:45
407,142.91,32,FALL,12:28:50
408,9.87,15,FALL,12:28:53
409,-49.14,7,FALL,12:28:56
410,-44.57,8,FALL,12:29:03
411,-49.24,8,FALL,12:29:06
412,159.54,33,FALL,12:29:14
413,231.35,44,FALL,12:29:20
414,-22.56,12,FALL,12:29:23
415,-11.06,14,FALL,12:29:27
416,139.89,35,FALL,12:29:37
417,-26.41,12,FALL,12:29:40
418,170.14,48,FALL,12:29:49
419,171.86,49,FALL,12:29:54
420,18.64,21,FALL,12:29:58
421,127.58,36,FALL,12:30:03
422,108.64,27,FALL,12:30:08
423,-17.20,14,FALL,12:30:12
424,8.72,16,FALL,12:30:15
425,-53.81,6,FALL,12:30:19
426,-45.35,9,FALL,12:30:22
427,351.44,68,FALL,12:30:32
428,-52.62,7,FALL,12:30:35
429,170.52,39,FALL,12:30:40
430,-45.09,8,FALL,12:30:43
431,-4.58,14,FALL,12:30:47
432,34.31,21,FALL,12:30:51
433,-34.41,10,FALL,12:30:58
434,45.33,20,FALL,12:31:02
435,25.72,22,FALL,12:31:06
436,-51.19,7,FALL,12:31:09
437,-5.28,20,FALL,12:31:13
438,205.35,52,FALL,12:31:22
439,-2.63,16,FALL,12:31:26
440,-35.92,11,FALL,12:31:29
441,27.92,18,FALL,12:31:33
442,17.46,21,FALL,12:31:37
443,-21.72,13,FALL,12:31:44
444,178.36,40,FALL,12:31:52
445,-16.47,14,FALL,12:31:59
446,-30.77,13,FALL,12:32:05
447,4.09,15,FALL,12:32:09
448,14.33,15,FALL,12:32:13
449,-1.47,15,FALL,12:32:17
450,406.71,73,FALL,12:32:24
451,121.82,34,FALL,12:32:28
452,-13.98,13,FALL,12:32:32
453,31.06,20,FALL,12:32:39
454,-37.68,10,FALL,12:32:43
455,187.23,50,FALL,12:32:48
456,-15.62,14,FALL,12:32:52
457,-46.28,7,FALL,12:32:55
458,46.25,21,FALL,12:33:02
459,-45.88,8,FALL,12:33:06
460,68.61,28,FALL,12:33:10
461,172.77,41,FALL,12:33:15
462,-45.50,8,FALL,12:33:22
463,-3.51,16,FALL,12:33:26
464,-55.60,6,FALL,12:33:29
465,-22.98,14,FALL,12:33:32
466,336.72,60,FALL,12:33:39
467,-29.36,11,FALL,12:33:46
468,-75.40,5,FALL,12:33:49
