x,y,z,hn,ht,dg,mct,mcn
-0.12,-0.09,0.14,-0.571337,-0.686382,0.229006,-0.96372,0.571337
-0.12,-0.08,0.1,-0.674741,-0.29611,1.14206,-1.4865,0.674741
-0.12,-0.08,0.11,-0.628796,-0.322022,1.03339,-1.40375,0.628796
-0.12,-0.08,0.12,-0.588003,-0.364888,0.899672,-1.31289,0.588003
-0.12,-0.08,0.13,-0.551655,-0.432507,0.728794,-1.20963,0.551655
-0.12,-0.08,0.14,-0.519146,-0.54726,0.485269,-1.08086,0.519146
-0.12,-0.07,0.1,-0.610726,-0.285033,1.2133,-1.54666,0.610726
-0.12,-0.07,0.11,-0.566729,-0.302279,1.11213,-1.46274,0.566729
-0.12,-0.07,0.12,-0.528074,-0.33513,0.988851,-1.37231,0.528074
-0.12,-0.07,0.13,-0.493941,-0.388897,0.835264,-1.27249,0.493941
-0.12,-0.07,0.14,-0.463648,-0.475974,0.631693,-1.156,0.463648
-0.12,-0.07,0.15,-0.436627,-0.651281,0.29079,-0.990404,0.436627
-0.12,-0.06,0.1,-0.54042,-0.280648,1.27113,-1.60011,0.54042
-0.12,-0.06,0.11,-0.499347,-0.290161,1.17592,-1.51441,0.499347
-0.12,-0.06,0.12,-0.463648,-0.31475,1.06029,-1.42338,0.463648
-0.12,-0.06,0.13,-0.432408,-0.358365,0.918164,-1.32486,0.432408
-0.12,-0.06,0.14,-0.404892,-0.42927,0.73634,-1.21394,0.404892
-0.12,-0.06,0.15,-0.380506,-0.553023,0.473971,-1.07533,0.380506
-0.12,-0.05,0.1,-0.463648,-0.281002,1.3173,-1.64663,0.463648
-0.12,-0.05,0.11,-0.426627,-0.28358,1.22696,-1.55887,0.426627
-0.12,-0.05,0.12,-0.394791,-0.301183,1.11718,-1.46669,0.394791
-0.12,-0.05,0.13,-0.367174,-0.336899,0.983147,-1.36838,0.367174
-0.12,-0.05,0.14,-0.343024,-0.396834,0.815015,-1.26018,0.343024
-0.12,-0.05,0.15,-0.321751,-0.497142,0.586784,-1.13226,0.321751
-0.12,-0.05,0.16,-0.302885,-0.763506,0.098744,-0.910582,0.302885
-0.12,-0.04,0.1,-0.380506,-0.284309,1.35315,-1.68579,0.380506
-0.12,-0.04,0.11,-0.348771,-0.280806,1.26681,-1.59594,0.348771
-0.12,-0.04,0.12,-0.321751,-0.292545,1.16154,-1.50242,0.321751
-0.12,-0.04,0.13,-0.298499,-0.322022,1.03339,-1.40375,0.298499
-0.12,-0.04,0.14,-0.2783,-0.37406,0.874443,-1.29684,0.2783
-0.12,-0.04,0.15,-0.260602,-0.460451,0.665546,-1.17433,0.260602
-0.12,-0.04,0.16,-0.244979,-0.631932,0.325598,-1.00586,0.244979
-0.12,-0.03,0.1,-0.291457,-0.288927,1.3798,-1.71706,0.291457
-0.12,-0.03,0.11,-0.266252,-0.280358,1.29663,-1.62532,0.266252
-0.12,-0.03,0.12,-0.244979,-0.287372,1.19478,-1.53049,0.244979
-0.12,-0.03,0.13,-0.226799,-0.312036,1.07087,-1.43124,0.226799
-0.12,-0.03,0.14,-0.211093,-0.358365,0.918164,-1.32486,0.211093
-0.12,-0.03,0.15,-0.197396,-0.435798,0.721174,-1.2053,0.197396
-0.12,-0.03,0.16,-0.185348,-0.577943,0.425895,-1.05217,0.185348
-0.12,-0.02,0.1,-0.197396,-0.293407,1.39814,-1.73988,0.197396
-0.12,-0.02,0.11,-0.179853,-0.281002,1.3173,-1.64663,0.179853
-0.12,-0.02,0.12,-0.165149,-0.28452,1.21787,-1.55072,0.165149
-0.12,-0.02,0.13,-0.152649,-0.305733,1.09684,-1.45091,0.152649
-0.12,-0.02,0.14,-0.141897,-0.348143,0.948227,-1.3447,0.141897
-0.12,-0.02,0.15,-0.132552,-0.419864,0.758555,-1.22675,0.132552
-0.12,-0.02,0.16,-0.124355,-0.54726,0.485269,-1.08086,0.124355
-0.12,-0.01,0.1,-0.0996687,-0.296597,1.40886,-1.75379,0.0996687
-0.12,-0.01,0.11,-0.0906599,-0.28179,1.32944,-1.65956,0.0906599
-0.12,-0.01,0.12,-0.0831412,-0.283153,1.23147,-1.56296,0.0831412
-0.12,-0.01,0.13,-0.0767719,-0.302279,1.11213,-1.46274,0.0767719
-0.12,-0.01,0.14,-0.0713075,-0.342384,0.965838,-1.35655,0.0713075
-0.12,-0.01,0.15,-0.0665682,-0.410892,0.780176,-1.2394,0.0665682
-0.12,-0.01,0.16,-0.0624188,-0.530903,0.517733,-1.09697,0.0624188
-0.12,-1.04083e-17,0.1,-1.04083e-16,-0.297747,1.41238,-1.75846,1.04083e-16
-0.12,-1.04083e-17,0.11,-9.46213e-17,-0.282121,1.33345,-1.6639,9.46213e-17
-0.12,-1.04083e-17,0.12,-8.67362e-17,-0.282756,1.23596,-1.56705,8.67362e-17
-0.12,-1.04083e-17,0.13,-8.00642e-17,-0.301183,1.11718,-1.46669,8.00642e-17
-0.12,-1.04083e-17,0.14,-7.43453e-17,-0.340526,0.97164,-1.3605,7.43453e-17
-0.12,-1.04083e-17,0.15,-6.93889e-17,-0.407994,0.787259,-1.24358,6.93889e-17
-0.12,-1.04083e-17,0.16,-6.50521e-17,-0.52573,0.528127,-1.10219,6.50521e-17
-0.12,0.01,0.1,0.0996687,-0.296597,1.40886,-1.75379,-0.0996687
-0.12,0.01,0.11,0.0906599,-0.28179,1.32944,-1.65956,-0.0906599
-0.12,0.01,0.12,0.0831412,-0.283153,1.23147,-1.56296,-0.0831412
-0.12,0.01,0.13,0.0767719,-0.302279,1.11213,-1.46274,-0.0767719
-0.12,0.01,0.14,0.0713075,-0.342384,0.965838,-1.35655,-0.0713075
-0.12,0.01,0.15,0.0665682,-0.410892,0.780176,-1.2394,-0.0665682
-0.12,0.01,0.16,0.0624188,-0.530903,0.517733,-1.09697,-0.0624188
-0.12,0.02,0.1,0.197396,-0.293407,1.39814,-1.73988,-0.197396
-0.12,0.02,0.11,0.179853,-0.281002,1.3173,-1.64663,-0.179853
-0.12,0.02,0.12,0.165149,-0.28452,1.21787,-1.55072,-0.165149
-0.12,0.02,0.13,0.152649,-0.305733,1.09684,-1.45091,-0.152649
-0.12,0.02,0.14,0.141897,-0.348143,0.948227,-1.3447,-0.141897
-0.12,0.02,0.15,0.132552,-0.419864,0.758555,-1.22675,-0.132552
-0.12,0.02,0.16,0.124355,-0.54726,0.485269,-1.08086,-0.124355
-0.12,0.03,0.1,0.291457,-0.288927,1.3798,-1.71706,-0.291457
-0.12,0.03,0.11,0.266252,-0.280358,1.29663,-1.62532,-0.266252
-0.12,0.03,0.12,0.244979,-0.287372,1.19478,-1.53049,-0.244979
-0.12,0.03,0.13,0.226799,-0.312036,1.07087,-1.43124,-0.226799
-0.12,0.03,0.14,0.211093,-0.358365,0.918164,-1.32486,-0.211093
-0.12,0.03,0.15,0.197396,-0.435798,0.721174,-1.2053,-0.197396
-0.12,0.03,0.16,0.185348,-0.577943,0.425895,-1.05217,-0.185348
-0.12,0.04,0.1,0.380506,-0.284309,1.35315,-1.68579,-0.380506
-0.12,0.04,0.11,0.348771,-0.280806,1.26681,-1.59594,-0.348771
-0.12,0.04,0.12,0.321751,-0.292545,1.16154,-1.50242,-0.321751
-0.12,0.04,0.13,0.298499,-0.322022,1.03339,-1.40375,-0.298499
